,Aerospace & Aviation,Agriculture,Automobile / Autocomponents,Banking / Insurance & Finance,Beauty & Wellness Industry,Building & Construction,Building / Hardware & Home Furnishings,Chemicals & Pharmaceuticals,Commerce or Humanities Stream,Defense & Military,Designing & Art,Education / Skill Development,Electronics & Hardware,Emergency Services,Engineering & Technology,Exams and Syllabus,Food Processing,Gems & Jewellery,Handlooms & Handicrafts,Healthcare,Humanistic Studies,Information Technology / Software,Institutes in India,ITES / BPO,Law & Order,Leather & Leather Goods,Management & Marketing,Media / Entertainment & Animation,Organised Retail,Psychometric Career Test,Public Admin & Government,Real Estate,Science & Research,Sports,Study Abroad,Telecom,Textiles & Garments,Tourism / Hospitality & Travel,Transportation/Logistics/Warehousing & Packaging,some error occured
2686,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shri Shankaracharya Institute Of Professional Management And Technology Raipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2687,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shri Shankaracharya Institute Of Technology And Management Bhilai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2688,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shri Shivaji Institute Of Engineering And Management Studies Parbhani,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2689,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shri Shivaji Vidya Prasarak SansthaS Bapusaheb Shivajirao Deore Polytechnic Dhule,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2690,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shri Vile Parle Kelavani MandalS Narsee Monjee College Of Commerce And EconomicsMumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2691,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shrimad Rajchandra Institute Of Management And Computer Application Bardoli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2692,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shrimant Jayshreemaladevi Naik Nimbalkar Institute Of Management Phaltan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2693,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Siddartha Educational Academy Group Of Institutions- Department Of Engineering Tirupati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2694,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Simhadri Educational Society Group Of Institutions- Faculty Of Engineering Visakhapatnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sir M Visvesvaraya Institute Of Management Studies And Research Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2696,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sir Sitaram And Lady Shantabai Patkar College Of Arts And Science Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2697,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sk Patel Institute Of Management And Computer Studies Gandhinagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Smt Hiraben Nanavati Institute Of Management And Research For WomenPune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2699,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Smt Kg Mittal Institute Of Management Information Technology And ResearchMumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SnjbS Late Sau Kantabai Bhavarlalji Jain College Of Engineering Nashik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2701,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Snt Global Academy Of Management Studies And Technology Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2702,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Spcj Institute Of Commerce Business Management And Economics Agra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2703,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya Kanchipuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2704,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Krishna Institute Of Management Centre For Excellence In Management Education Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Sai Iqbal College Of Management And Information Technology Pathankot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2706,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Vatsavai Krishnam Raju College Of Engineering And TechnologyKumudavalli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2707,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Venkateswara College Of Engineering And Technology Thiruvallur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2708,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Venkateswara Institute Of Information Technology And Management Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2709,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Venkateswara Institute Of Science And Information TechnologyVenkatramannagudem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2710,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Aloysius Institute Of Management And Information Technology Mangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2711,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. MaryS Group Of Institutions- College Of Engineering And Technology Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2712,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Suddhananda School Of Management And Computer Science Bhubaneswar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2713,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Darshnanand Institute Of Management And Technology Haridwar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Keshvanand Institute Of Technology Management And Gramothan Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2715,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Vivekananda Institute Of Management And Computer Science Kolkata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2716,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Vivekananda Institute Of Science And Technology South 24 Parganas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sydenham Institute Of Management Studies Research And Entrepreneurship Education Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2718,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Centre For Management And Human Resource Development Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2719,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Technical Education And Research Institute Post – Graduate College Ghazipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2720,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Teerthanker Mahaveer College Of Management And Computer Applications Moradabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2721,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Mandvi Education Society College Of Business Administration And Computer Application Mandvi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2722,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tilakraj Chadha Institute Of Management And Technology Yamunanagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2723,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tula’S Institute-The Engineering And Management College Dehradun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2724,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tulsiramji Gaikwad-Patil College Of Engineering And Technology Nagpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University College Of Commerce And Business Management Kakatiya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2726,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vasantraodada Patil Institute Of Management Studies And ResearchSangli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2727,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering CollegeChennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Veltech Multitech Dr.Rangarajan Dr.Sakunthala Engineering CollegeChennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2729,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VignanS Institute Of Technology And Aeronautical Engineering Hyderabad Telangana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2730,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vinayaka Mission Kirupananda Variyar Engineering College Salem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2731,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vinod Gupta School Of Management Indian Institute Of Technology Kharagpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2732,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Virudhunagar Hindu NadarS Senthikumara Nadar College Virudhunagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vishwakarma Dadasaheb Chavan Institute Of Management And ResearchNigadi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2734,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivekananda Institute Of Engineering And Technology For Women Tiruchengode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2735,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivekananda Institute Of Information And Management Studies For Women Elaiyampalayam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2736,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VpmS Ramniklal Z Shah College Of Arts Science And Commerce Of ArtsMumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2737,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yashwantrao Chavan School Of Rural Development Shivaji University Kolhapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2738,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yadavrao Tasgaonkar Institute Of Management Studies And ResearchKarjat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2739,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,361 Degree Minds Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2740,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A Veeriya Vandayar Memorial Sri Pushpam College Poondi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2741,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aalim Muhammed Salegh College of Engineering Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2742,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aarushi Group of Institutions Warangal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2743,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aashlar Business School Mathura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2744,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Abasaheb Garware Institute of Management Studies Sangli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Abdulkalam Institute of Technological Sciences Khammam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2746,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Abeda Inamdar Senior College Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2747,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ABES Engineering College Ghaziabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2748,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ABES Institute of Technology Ghaziabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2749,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Abhilashi Institute of Management Studies Mandi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Abhinav Hi-Tech College of Engineering and Technology Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ABIT–JRD Tata Institute of Management Cuttack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2752,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ABR College of Engineering and Technology Prakasam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2753,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ABS Academy of Science Technology and Management Durgapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2754,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ABSS Institute of Technology Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2755,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Academy of Business Administration Balasore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2756,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Academy of Management Studies Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2757,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ACCMAN Institute of Management Greater Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2758,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Accurate Institute of Advanced Management Greater Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2759,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Accurate Institute of Management and Technology Greater Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acharya Bangalore B-School Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2761,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acharya Institute of Management and Sciences Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2762,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acharya Institute of Technology Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acharya Nagarjuna University Guntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2764,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acharya School of Management Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2765,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acharya Shree Nanesh Samta Mahavidyalaya Chittorgarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2766,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ACN College of Engineering and Managment Studies Aligarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2767,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ACN School of Business Aligarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2768,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acropolis Faculty of Management and Research Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acropolis Institute of Technology and Research Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acropolis Institute of Technology and Research Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2771,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acropolis Technical Campus Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2772,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adaikalamatha Institute of Management Thanjavur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2773,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adams Engineering College Khammam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adani Institute of Infrastructure Management Ahmedabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2775,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adarsh College of Arts and Commerce Kulgaon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2776,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adarsh College of Engineering Kakinada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2777,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adarsh Post Graduate College of Computer Science Mahabubnagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Addanki Institute of Management and Sciences Ongole,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2779,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adesh Institute of Engineering and Technology Faridkot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2780,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adesh University Bhatinda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2781,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adhalrao Patil Institute of Management and Research Ambegaon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2782,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adhiparasakthi Engineering College Kancheepuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2783,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adhiyamaan College of Engineering Hosur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adi Shankara Institute of Engineering and Technology Kalady,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2785,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adichunchanagiri Institute of Technology Chikmagalur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2786,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adikavi Nannaya University Rajahmundry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2787,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aditya Engineering College Surampalem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2788,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aditya Global Business School Surampalem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2789,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aditya Institute of Management Studies and Research Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2790,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aditya Institute of Management Studies and Research Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2791,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aditya Institute of Management Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2792,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aditya Institute of Technology and Management Tekkali,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2793,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aditya MBA College Beed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Adsuls Technical Campus Ahmednagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2795,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Advanced Institute of Technology and Management Palwal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2796,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Advanced Management College Banglore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2797,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Advent Institute Udaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2798,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Affinity Business School Bhubaneswar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Agni College of Technology Thalambur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Agni School of Business Excellence Dindigul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2801,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Agra Public College of Technology and Management Agra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2802,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ahalia School of Management Palakkad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2803,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ahmedabad Institute of Technology Ahmedabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2804,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ahmedabad University Ahmedabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2805,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aishwarya Institute of Management and IT Udaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2806,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AISSMS Institute of Management Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2807,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aizza College of Engineering and Technology Adilabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2808,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AJ Institute of Management Mangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2809,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ajay Binay Institute of Technology Cuttack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ajay Kumar Garg Institute of Management Ghaziabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2811,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Akemi Business School Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2812,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Akkineni Nageswara Rao College Gudivada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2813,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AKRG College of Engineering and Technology Nallajerla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2814,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AKS Management College Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
